"chart","age","age_units","gender","measure","measure_units","L","M","S"
"fenton_2025",22.5,"weeks","f","head_circ","cm",1,19.4468341009699,0.0675344492893188
"fenton_2025",22.5714285714286,"weeks","f","head_circ","cm",1,19.512239030168,0.0673259742507192
"fenton_2025",22.7142857142857,"weeks","f","head_circ","cm",1,19.6643658100805,0.0668413600979818
"fenton_2025",22.8571428571429,"weeks","f","head_circ","cm",1,19.8165603717058,0.0663573890538627
"fenton_2025",23,"weeks","f","head_circ","cm",1,19.9688679028527,0.0658744898574407
"fenton_2025",23.1428571428571,"weeks","f","head_circ","cm",1,20.1213335913298,0.0653930912477947
"fenton_2025",23.2857142857143,"weeks","f","head_circ","cm",1,20.2740026249456,0.0649136219640035
"fenton_2025",23.4285714285714,"weeks","f","head_circ","cm",1,20.4269201915088,0.0644365107451459
"fenton_2025",23.5714285714286,"weeks","f","head_circ","cm",1,20.5801281866424,0.0639622346560419
"fenton_2025",23.7142857142857,"weeks","f","head_circ","cm",1,20.7335927857015,0.0634923822535539
"fenton_2025",23.8571428571429,"weeks","f","head_circ","cm",1,20.8872044437734,0.0630296535865872
"fenton_2025",24,"weeks","f","head_circ","cm",1,21.0408503237596,0.0625767970297882
"fenton_2025",24.1428571428571,"weeks","f","head_circ","cm",1,21.194417588562,0.062136560957803
"fenton_2025",24.2857142857143,"weeks","f","head_circ","cm",1,21.347793401082,0.0617116937452781
"fenton_2025",24.4285714285714,"weeks","f","head_circ","cm",1,21.5008649242214,0.0613049437668596
"fenton_2025",24.5714285714286,"weeks","f","head_circ","cm",1,21.653522747008,0.0609190227684233
"fenton_2025",24.7142857142857,"weeks","f","head_circ","cm",1,21.8057362593725,0.0605558000341225
"fenton_2025",24.8571428571429,"weeks","f","head_circ","cm",1,21.9575536521489,0.0602163023863883
"fenton_2025",25,"weeks","f","head_circ","cm",1,22.1090265422969,0.0599015200188811
"fenton_2025",25.1428571428571,"weeks","f","head_circ","cm",1,22.2602065467765,0.0596124431252613
"fenton_2025",25.2857142857143,"weeks","f","head_circ","cm",1,22.4111452825476,0.0593500618991894
"fenton_2025",25.4285714285714,"weeks","f","head_circ","cm",1,22.5618943665703,0.0591153665343258
"fenton_2025",25.5714285714286,"weeks","f","head_circ","cm",1,22.7125045948166,0.0589092191357035
"fenton_2025",25.7142857142857,"weeks","f","head_circ","cm",1,22.8630078805405,0.0587295357699229
"fenton_2025",25.8571428571429,"weeks","f","head_circ","cm",1,23.0134172542774,0.0585712864651519
"fenton_2025",26,"weeks","f","head_circ","cm",1,23.1637449255753,0.0584293131609309
"fenton_2025",26.1428571428571,"weeks","f","head_circ","cm",1,23.3140031039818,0.0582984577968004
"fenton_2025",26.2857142857143,"weeks","f","head_circ","cm",1,23.4642039990448,0.0581735623123007
"fenton_2025",26.4285714285714,"weeks","f","head_circ","cm",1,23.6143598203122,0.0580494686469723
"fenton_2025",26.5714285714286,"weeks","f","head_circ","cm",1,23.7644815588317,0.0579211331610618
"fenton_2025",26.7142857142857,"weeks","f","head_circ","cm",1,23.914552180154,0.0577861438910579
"fenton_2025",26.8571428571429,"weeks","f","head_circ","cm",1,24.0645266243325,0.0576447205496917
"fenton_2025",27,"weeks","f","head_circ","cm",1,24.2143586129207,0.0574971972704002
"fenton_2025",27.1428571428571,"weeks","f","head_circ","cm",1,24.364001867472,0.0573439081866206
"fenton_2025",27.2857142857143,"weeks","f","head_circ","cm",1,24.51341010954,0.0571851874317899
"fenton_2025",27.4285714285714,"weeks","f","head_circ","cm",1,24.6625370606782,0.0570213691393455
"fenton_2025",27.5714285714286,"weeks","f","head_circ","cm",1,24.8113419690155,0.0568527458541815
"fenton_2025",27.7142857142857,"weeks","f","head_circ","cm",1,24.9599111939215,0.0566786535847091
"fenton_2025",27.8571428571429,"weeks","f","head_circ","cm",1,25.1084582060055,0.0564974718028558
"fenton_2025",28,"weeks","f","head_circ","cm",1,25.2572020024527,0.0563075383920063
"fenton_2025",28.1428571428571,"weeks","f","head_circ","cm",1,25.4063615804482,0.0561071912355456
"fenton_2025",28.2857142857143,"weeks","f","head_circ","cm",1,25.5561559371771,0.0558947682168584
"fenton_2025",28.4285714285714,"weeks","f","head_circ","cm",1,25.7068040698247,0.0556686072193295
"fenton_2025",28.5714285714286,"weeks","f","head_circ","cm",1,25.8585027725959,0.0554272061305661
"fenton_2025",28.7142857142857,"weeks","f","head_circ","cm",1,26.0109381711551,0.0551727429352856
"fenton_2025",28.8571428571429,"weeks","f","head_circ","cm",1,26.1632857226255,0.0549110757153164
"fenton_2025",29,"weeks","f","head_circ","cm",1,26.3146986811506,0.054648222556709
"fenton_2025",29.1428571428571,"weeks","f","head_circ","cm",1,26.4643303008736,0.0543902015455137
"fenton_2025",29.2857142857143,"weeks","f","head_circ","cm",1,26.6113338359379,0.054143030767781
"fenton_2025",29.4285714285714,"weeks","f","head_circ","cm",1,26.7548625404868,0.0539127283095615
"fenton_2025",29.5714285714286,"weeks","f","head_circ","cm",1,26.8941119021192,0.0537051214011708
"fenton_2025",29.7142857142857,"weeks","f","head_circ","cm",1,27.029248777912,0.0535216475910284
"fenton_2025",29.8571428571429,"weeks","f","head_circ","cm",1,27.1614113944203,0.0533593547456568
"fenton_2025",30,"weeks","f","head_circ","cm",1,27.2917802116545,0.0532150998758442
"fenton_2025",30.1428571428571,"weeks","f","head_circ","cm",1,27.4215356896253,0.0530857399923786
"fenton_2025",30.2857142857143,"weeks","f","head_circ","cm",1,27.5518582883431,0.0529681321060482
"fenton_2025",30.4285714285714,"weeks","f","head_circ","cm",1,27.6839284678187,0.0528591332276409
"fenton_2025",30.5714285714286,"weeks","f","head_circ","cm",1,27.8188835094507,0.0527555308228716
"fenton_2025",30.7142857142857,"weeks","f","head_circ","cm",1,27.9568675865679,0.0526525128207689
"fenton_2025",30.8571428571429,"weeks","f","head_circ","cm",1,28.0970317644288,0.0525436676136754
"fenton_2025",31,"weeks","f","head_circ","cm",1,28.2384839296804,0.0524225140488602
"fenton_2025",31.1428571428571,"weeks","f","head_circ","cm",1,28.3803319689694,0.0522825709735928
"fenton_2025",31.2857142857143,"weeks","f","head_circ","cm",1,28.5216837689427,0.0521173572351423
"fenton_2025",31.4285714285714,"weeks","f","head_circ","cm",1,28.6616472162471,0.0519203916807779
"fenton_2025",31.5714285714286,"weeks","f","head_circ","cm",1,28.7993575761194,0.0516855478915586
"fenton_2025",31.7142857142857,"weeks","f","head_circ","cm",1,28.9345798213641,0.0514148583257033
"fenton_2025",31.8571428571429,"weeks","f","head_circ","cm",1,29.0677086323534,0.0511185143185915
"fenton_2025",32,"weeks","f","head_circ","cm",1,29.1991660680495,0.0508070619393922
"fenton_2025",32.1428571428571,"weeks","f","head_circ","cm",1,29.3293741874145,0.0504910472572743
"fenton_2025",32.2857142857143,"weeks","f","head_circ","cm",1,29.4587550494107,0.0501810163414068
"fenton_2025",32.4285714285714,"weeks","f","head_circ","cm",1,29.5877307130001,0.0498875152609587
"fenton_2025",32.5714285714286,"weeks","f","head_circ","cm",1,29.716709005815,0.0496206648565829
"fenton_2025",32.7142857142857,"weeks","f","head_circ","cm",1,29.8457704349002,0.0493808057130639
"fenton_2025",32.8571428571429,"weeks","f","head_circ","cm",1,29.9746681867128,0.0491584981593174
"fenton_2025",33,"weeks","f","head_circ","cm",1,30.1031412163801,0.0489438772957432
"fenton_2025",33.1428571428571,"weeks","f","head_circ","cm",1,30.2309284790294,0.0487270782227414
"fenton_2025",33.2857142857143,"weeks","f","head_circ","cm",1,30.3577689297881,0.0484982360407116
"fenton_2025",33.4285714285714,"weeks","f","head_circ","cm",1,30.4834015237833,0.0482474858500536
"fenton_2025",33.5714285714286,"weeks","f","head_circ","cm",1,30.6075739616175,0.0479653562998417
"fenton_2025",33.7142857142857,"weeks","f","head_circ","cm",1,30.7302350898209,0.0476514276586568
"fenton_2025",33.8571428571429,"weeks","f","head_circ","cm",1,30.8515349008517,0.0473143318145873
"fenton_2025",34,"weeks","f","head_circ","cm",1,30.971632132643,0.0469630942043956
"fenton_2025",34.1428571428571,"weeks","f","head_circ","cm",1,31.0906855231282,0.0466067402648442
"fenton_2025",34.2857142857143,"weeks","f","head_circ","cm",1,31.2088538102403,0.0462542954326956
"fenton_2025",34.4285714285714,"weeks","f","head_circ","cm",1,31.3262957319126,0.0459147851447123
"fenton_2025",34.5714285714286,"weeks","f","head_circ","cm",1,31.4431608337891,0.0455969664464726
"fenton_2025",34.7142857142857,"weeks","f","head_circ","cm",1,31.5593872388594,0.0453034233863189
"fenton_2025",34.8571428571429,"weeks","f","head_circ","cm",1,31.6747016474594,0.0450305670153576
"fenton_2025",35,"weeks","f","head_circ","cm",1,31.7888215676352,0.044774539993511
"fenton_2025",35.1428571428571,"weeks","f","head_circ","cm",1,31.9014645074332,0.0445314849807014
"fenton_2025",35.2857142857143,"weeks","f","head_circ","cm",1,32.0123479748999,0.044297544636851
"fenton_2025",35.4285714285714,"weeks","f","head_circ","cm",1,32.1211894780814,0.0440688616218822
"fenton_2025",35.5714285714286,"weeks","f","head_circ","cm",1,32.2277131656972,0.0438416281116388
"fenton_2025",35.7142857142857,"weeks","f","head_circ","cm",1,32.3317959219438,0.0436131751481602
"fenton_2025",35.8571428571429,"weeks","f","head_circ","cm",1,32.4334673664953,0.0433819726396814
"fenton_2025",36,"weeks","f","head_circ","cm",1,32.5327637596985,0.0431465400103591
"fenton_2025",36.1428571428571,"weeks","f","head_circ","cm",1,32.6297213619003,0.0429053966843498
"fenton_2025",36.2857142857143,"weeks","f","head_circ","cm",1,32.7243764334478,0.0426570620858102
"fenton_2025",36.4285714285714,"weeks","f","head_circ","cm",1,32.8167652346877,0.0424000556388967
"fenton_2025",36.5714285714286,"weeks","f","head_circ","cm",1,32.9069265879662,0.0421330186309999
"fenton_2025",36.7142857142857,"weeks","f","head_circ","cm",1,32.9949582416085,0.0418573952038874
"fenton_2025",36.8571428571429,"weeks","f","head_circ","cm",1,33.0810168699192,0.0415774323537043
"fenton_2025",37,"weeks","f","head_circ","cm",1,33.1652617092019,0.0412974989398297
"fenton_2025",37.1428571428571,"weeks","f","head_circ","cm",1,33.2478519957603,0.0410219638216424
"fenton_2025",37.2857142857143,"weeks","f","head_circ","cm",1,33.3289469658981,0.0407551958585213
"fenton_2025",37.4285714285714,"weeks","f","head_circ","cm",1,33.4087058559188,0.0405015639098453
"fenton_2025",37.5714285714286,"weeks","f","head_circ","cm",1,33.4872863376067,0.0402652778361149
"fenton_2025",37.7142857142857,"weeks","f","head_circ","cm",1,33.5648100987962,0.040046890523624
"fenton_2025",37.8571428571429,"weeks","f","head_circ","cm",1,33.6413628433721,0.03984329788446
"fenton_2025",38,"weeks","f","head_circ","cm",1,33.7170287106998,0.0396512368318321
"fenton_2025",38.1428571428571,"weeks","f","head_circ","cm",1,33.7918918401445,0.0394674442789493
"fenton_2025",38.2857142857143,"weeks","f","head_circ","cm",1,33.8660363710716,0.0392886571390204
"fenton_2025",38.4285714285714,"weeks","f","head_circ","cm",1,33.9395464428462,0.0391116123252545
"fenton_2025",38.5714285714286,"weeks","f","head_circ","cm",1,34.0125044596939,0.0389331279322469
"fenton_2025",38.7142857142857,"weeks","f","head_circ","cm",1,34.0849529176203,0.0387518892264784
"fenton_2025",38.8571428571429,"weeks","f","head_circ","cm",1,34.156894404412,0.0385684486463151
"fenton_2025",39,"weeks","f","head_circ","cm",1,34.2283297727154,0.0383834398115095
"fenton_2025",39.1428571428571,"weeks","f","head_circ","cm",1,34.2992598751767,0.038197496341814
"fenton_2025",39.2857142857143,"weeks","f","head_circ","cm",1,34.3696855644426,0.0380112518569812
"fenton_2025",39.4285714285714,"weeks","f","head_circ","cm",1,34.4396076931594,0.0378253399767635
"fenton_2025",39.5714285714286,"weeks","f","head_circ","cm",1,34.5090269954155,0.0376403900656851
"fenton_2025",39.7142857142857,"weeks","f","head_circ","cm",1,34.5779414784656,0.0374569336180208
"fenton_2025",39.8571428571429,"weeks","f","head_circ","cm",1,34.6463464227306,0.0372754042577956
"fenton_2025",40,"weeks","f","head_circ","cm",1,34.7142369900735,0.0370962313538067
"fenton_2025",40.1428571428571,"weeks","f","head_circ","cm",1,34.7816083423571,0.0369198442748509
"fenton_2025",40.2857142857143,"weeks","f","head_circ","cm",1,34.8484556414444,0.0367466723897251
"fenton_2025",40.4285714285714,"weeks","f","head_circ","cm",1,34.9147740491983,0.0365771450672263
"fenton_2025",40.5714285714286,"weeks","f","head_circ","cm",1,34.9805592528121,0.0364116747065538
"fenton_2025",40.7142857142857,"weeks","f","head_circ","cm",1,35.0458190220794,0.0362502834061584
"fenton_2025",40.8571428571429,"weeks","f","head_circ","cm",1,35.1105732093941,0.0360926029637431
"fenton_2025",41,"weeks","f","head_circ","cm",1,35.1748421924805,0.035938248207413
"fenton_2025",41.1428571428571,"weeks","f","head_circ","cm",1,35.2386463490628,0.0357868339652732
"fenton_2025",41.2857142857143,"weeks","f","head_circ","cm",1,35.3020060568653,0.0356379750654287
"fenton_2025",41.4285714285714,"weeks","f","head_circ","cm",1,35.3649416936123,0.0354912863359847
"fenton_2025",41.5714285714286,"weeks","f","head_circ","cm",1,35.4274732306254,0.0353463945502918
"fenton_2025",41.7142857142857,"weeks","f","head_circ","cm",1,35.4896112919667,0.0352032012223479
"fenton_2025",41.8571428571429,"weeks","f","head_circ","cm",1,35.5513571544384,0.0350618826067982
"fenton_2025",42,"weeks","f","head_circ","cm",1,35.6127116884401,0.0349226269035333
"fenton_2025",42.1428571428571,"weeks","f","head_circ","cm",1,35.6736757643716,0.0347856223124439
"fenton_2025",42.2857142857143,"weeks","f","head_circ","cm",1,35.7342502526324,0.0346510570334208
"fenton_2025",42.4285714285714,"weeks","f","head_circ","cm",1,35.7944360236223,0.0345191192663546
"fenton_2025",42.5714285714286,"weeks","f","head_circ","cm",1,35.8542340590641,0.0343899959577084
"fenton_2025",42.7142857142857,"weeks","f","head_circ","cm",1,35.9136479011138,0.0342638452251111
"fenton_2025",42.8571428571429,"weeks","f","head_circ","cm",1,35.9726836523602,0.0341407963573572
"fenton_2025",43,"weeks","f","head_circ","cm",1,36.0313475267155,0.0340209773898134
"fenton_2025",43.1428571428571,"weeks","f","head_circ","cm",1,36.0896457380918,0.0339045163578469
"fenton_2025",43.2857142857143,"weeks","f","head_circ","cm",1,36.1475845004013,0.0337915412968245
"fenton_2025",43.4285714285714,"weeks","f","head_circ","cm",1,36.2051700275561,0.0336821802421132
"fenton_2025",43.5714285714286,"weeks","f","head_circ","cm",1,36.262408243672,0.0335765680002058
"fenton_2025",43.7142857142857,"weeks","f","head_circ","cm",1,36.3192984075497,0.0334749951134938
"fenton_2025",43.8571428571429,"weeks","f","head_circ","cm",1,36.3758331126748,0.0333779078602667
"fenton_2025",44,"weeks","f","head_circ","cm",1,36.4320046627364,0.0332857592899404
"fenton_2025",44.1428571428571,"weeks","f","head_circ","cm",1,36.4878053614238,0.0331990024519306
"fenton_2025",44.2857142857143,"weeks","f","head_circ","cm",1,36.5432275124263,0.0331180903956529
"fenton_2025",44.4285714285714,"weeks","f","head_circ","cm",1,36.598263419433,0.0330434761705231
"fenton_2025",44.5714285714286,"weeks","f","head_circ","cm",1,36.6529066031015,0.0329755861436139
"fenton_2025",44.7142857142857,"weeks","f","head_circ","cm",1,36.7071785743636,0.0329142329881068
"fenton_2025",44.8571428571429,"weeks","f","head_circ","cm",1,36.7611288344246,0.0328586156832923
"fenton_2025",45,"weeks","f","head_circ","cm",1,36.8148081014584,0.032807906526118
"fenton_2025",45.1428571428571,"weeks","f","head_circ","cm",1,36.8682670936391,0.0327612778135313
"fenton_2025",45.2857142857143,"weeks","f","head_circ","cm",1,36.9215565291406,0.0327179018424797
"fenton_2025",45.4285714285714,"weeks","f","head_circ","cm",1,36.9747271261366,0.0326769509099107
"fenton_2025",45.5714285714286,"weeks","f","head_circ","cm",1,37.0278295881652,0.0326375824033597
"fenton_2025",45.7142857142857,"weeks","f","head_circ","cm",1,37.0809142821329,0.0325986107938886
"fenton_2025",45.8571428571429,"weeks","f","head_circ","cm",1,37.1340312383157,0.0325585076360851
"fenton_2025",46,"weeks","f","head_circ","cm",1,37.1872304723531,0.0325157295751253
"fenton_2025",46.1428571428571,"weeks","f","head_circ","cm",1,37.2405619998849,0.0324687332561851
"fenton_2025",46.2857142857143,"weeks","f","head_circ","cm",1,37.2940758365506,0.0324159753244405
"fenton_2025",46.4285714285714,"weeks","f","head_circ","cm",1,37.3478219979899,0.0323559124250673
"fenton_2025",46.5714285714286,"weeks","f","head_circ","cm",1,37.4018459548367,0.0322870789287918
"fenton_2025",46.7142857142857,"weeks","f","head_circ","cm",1,37.4560886425936,0.0322097968939912
"fenton_2025",46.8571428571429,"weeks","f","head_circ","cm",1,37.510386461632,0.0321261760666943
"fenton_2025",47,"weeks","f","head_circ","cm",1,37.5645712673173,0.0320384039184801
"fenton_2025",47.1428571428571,"weeks","f","head_circ","cm",1,37.6184749150152,0.0319486679209274
"fenton_2025",47.2857142857143,"weeks","f","head_circ","cm",1,37.6719292600912,0.0318591555456151
"fenton_2025",47.4285714285714,"weeks","f","head_circ","cm",1,37.7247661579108,0.0317720542641221
"fenton_2025",47.5714285714286,"weeks","f","head_circ","cm",1,37.7768210028036,0.031689511901049
"fenton_2025",47.7142857142857,"weeks","f","head_circ","cm",1,37.8280105852693,0.031612764400498
"fenton_2025",47.8571428571429,"weeks","f","head_circ","cm",1,37.8783330919783,0.0315421358260725
"fenton_2025",48,"weeks","f","head_circ","cm",1,37.9277902485646,0.0314779105943982
"fenton_2025",48.1428571428571,"weeks","f","head_circ","cm",1,37.9763837806623,0.0314203731221002
"fenton_2025",48.2857142857143,"weeks","f","head_circ","cm",1,38.0241154139055,0.031369807825804
"fenton_2025",48.4285714285714,"weeks","f","head_circ","cm",1,38.0709868739284,0.031326499122135
"fenton_2025",48.5714285714286,"weeks","f","head_circ","cm",1,38.1169992778567,0.0312907317651372
